Name,RAJ2000,DEJ2000,memclass,Kmag,e_Kmag,r_K,Gmag,e_Gmag,BP-RP,bin,RUWE,D,e_D,mass,e_mass,Lbol,e_Lbol,tau,Prot,EW,e_EW,chi,e_chi,NSPTP
Gaia DR3 1426305042105790080,251.5787754,54.0635601,ms,10.485,0.022,2M,13.690263,0.002776,2.080222,0,4.194,119.055161,0.82143,0.576261342,0.003796178,277.6945803,7.378323246,37.02984542,nan,-0.459603834,0.03894738,6.442302896,0.04040163,41
Gaia DR3 1426427259695405568,253.8496809,54.93633733,ms,12.135,0.023,2M,15.932599,0.002847,2.856261,0,0.924,125.110397,0.4830625,0.352083658,0.004446718,56.4656275,1.404745427,69.23138379,4.807129352,-2.887582619,0.062233174,4.484225274,0.036292339,43.5
Gaia DR3 1426719180032001920,250.8908196,54.46855748,ms,11.159,0.018,2M,14.604835,0.002794,2.364838,0,1.014,113.711479,0.2618335,0.453042604,0.002435312,122.5345967,2.311921083,51.76817444,24.8179,0.245344594,0.019015106,5.427858191,0.022279829,42
Gaia DR3 1427690594260469504,243.1474214,52.01097695,ms,14.899,0.129,2M,19.946838,0.005003,2.707915,0,1.075,125.387047,8.7395935,0.095967252,0.006269844,3.344619683,0.709949004,154.4913374,nan,-6.30118959,2.26462001,1.116823995,0.117912786,46
Gaia DR3 1427744612064776064,242.3565585,52.28068014,ms,11.794,0.016,2M,15.716524,0.00288,2.95032,0,1.854,129.860367,0.645523,0.396219756,0.001567086,84.31059608,1.53491453,60.86074934,0.468189635,-9.43755227,0.10805388,4.829339792,0.009382273,44
Gaia DR3 1427848412834250624,244.3736321,52.97042208,ms,12.064,0.02,2M,15.657427,0.002815,2.559175,0,1.044,136.178909,0.835037,0.382694593,0.001949839,72.15332428,1.638040113,63.29351389,nan,nan,nan,4.731523529,0.011727842,43
Gaia DR3 1427884658062303488,243.4490575,53.01621137,ms,13.873,0.054,2M,17.952328,0.003057,3.36871,0,1.051,117.368141,1.3611105,0.140861059,0.003868369,8.28775424,0.527155716,133.3089726,nan,nan,nan,2.13106789,0.056088923,44
Gaia DR3 1428060790377370624,242.3105147,53.44551652,ms,11.597,0.014,2M,15.205312,0.002887,2.559836,0,1.052,120.73542,0.3044815,0.399372097,0.00121632,87.4266549,1.232882333,60.30957352,6.368654723,-5.376446281,0.065332975,4.85213805,0.008209489,43
Gaia DR3 1428847009910508288,241.3040485,53.47277499,ms,12.585,0.024,2M,16.476643,0.002847,2.90478,0,0.992,111.290833,0.43552,0.23112011,0.003920559,28.04553185,0.704955877,99.97213161,nan,nan,nan,3.396009092,0.032407501,44
Gaia DR3 1428873776146641024,241.544994,53.65967691,ms,11.578,0.018,2M,15.094707,0.002876,2.437904,0,1.054,127.798073,0.335827,0.426930854,0.003780398,102.8277927,2.262235231,55.73235631,10.05022078,-3.097086827,0.063555204,5.164566703,0.038432705,43
